,data,label
0,sd neg bojong 02,sd negeri bojong 02
1,sd negeri boj 02,sd negeri bojong 02
2,yaya atohariyah,yayasan atohariyah
3,toko bang ajs,toko bangunan ajs
4,mar tabligh metro,markaz tabligh metro
5,markaz tabl metro,markaz tabligh metro
6,sd neg 12 anggrek,sd negeri 12 anggrek
7,cak,cakrad
8,bint jaya ud,bintang jaya ud
9,kah nasu,kaharu nasu
10,cau terrace,causal terrace
11,kedai tenun jep sennaart,kedai tenun jepara sennaart
12,cv. hin oto kencana,cv. hingdi oto kencana
13,ahmad dah iv,ahmad dahlan iv
14,caval pizzaria,cavallino pizzaria
15,mangla rege,manglayang rege
16,beng las deny,bengkel las deny
17,cipi jaya 1a,cipinang jaya 1a
18,ber nadah agung,berkat nadah agung
19,sd bust islamiah,sd bustanul islamiah
20,sd neg palumbungan 1,sd negeri palumbungan 1
21,pd. karya warga mand cimb,pd. karya warga mandiri cimb
22,prim warna dan rekan,primaadi warna dan rekan
23,alun - alun kuli nusantara,alun - alun kuliner nusantara
24,kantor bupati tapa selatan,kantor bupati tapanuli selatan
25,kantor bupati tapanuli sela,kantor bupati tapanuli selatan
26,electr laundry system,electrolux laundry system
27,electrolux laun system,electrolux laundry system
28,pasi redjeki,pasifik redjeki
29,man kerto v,man kertoarjo v
30,stati accessories,station88 accessories
31,kan desa sumber wangi tps 1,kantor desa sumber wangi tps 1
32,pang rambut asgar,pangkas rambut asgar
33,aempe pluit bat raya pt,aempe pluit bataco raya pt
34,par,parigi
35,beng spesialist ac mobil ac rio,bengkel spesialist ac mobil ac rio
36,bengkel spesia ac mobil ac rio,bengkel spesialist ac mobil ac rio
37,dpc federasi lome sbsi,dpc federasi lomenik sbsi
38,pahl,pahlawan
39,ged bersaudara,gedung bersaudara
40,mie dan nasi gor pak doey,mie dan nasi goreng pak doey
41,war sahabat,warung sahabat
42,waro bakso bunda pampangan,waroeng bakso bunda pampangan
43,graha mamp 2nd floor raya,"graha mampang, 2nd floor raya"
44,sayur segar dan semb ibu sur,sayur segar dan sembako ibu sur
45,kan desa sumur musuk boyolali,kantor desa sumur musuk boyolali
46,rumah cuci ria,rumah cuci rianda
47,ba terp an nur,ba terpadu an nur
48,kan bupati asahan,kantor bupati asahan
49,kantor bupati asa,kantor bupati asahan
50,war nasi cipunjur,warung nasi cipunjur
51,t-sh design store,t-shirt design store
52,she bea hair and spa,she beauty hair and spa
53,indocar,indocarpenter
54,puskesmas mekar,puskesmas mekarsari
55,jaya makh konsultan,jaya makhasi konsultan
56,al barokah serv motor,al barokah service motor
57,pab dolomit maros,pabrik dolomit maros
58,kawat pena batu,kawat penahan batu
59,kedai lup 22,kedai lupita 22
60,kar utara,karang utara
61,komp bumi panyileukan,komplek bumi panyileukan
62,mush,musholla
63,cosmat,cosmaterial
64,lom vape store,lombok vape store
65,k'kini kor & indonesian restoran,k'kini korean & indonesian restoran
66,chat terasutra bogor,chatime terasutra bogor
67,maka d5,makaroni d5
68,ad sandi cakra prat pt,ad sandi cakra pratama. pt
69,sekretariat uppkh kecamatan suko,sekretariat uppkh kecamatan sukodono
70,toko coun handphone,toko counter handphone
71,raya kalijati,raya kalijati-p
72,kan upk,kantor upk
73,taman chem,taman chempuck
74,war fikri,warteg fikri
75,sd neg ngembeh i,sd negeri ngembeh i
76,dok wahi,dok wahidin
77,maxime ren kamera,maxime rental kamera
78,maxime rental kam,maxime rental kamera
79,toi pertamina,toilet pertamina
80,bag resort,baguna resort
81,sd neg 1 sukasada,sd negeri 1 sukasada
82,atm mand,atm mandiri
83,alfa busana,alfatah busana
84,sd negeri ciki 4,sd negeri cikiwul 4
85,raya banjarn - purwok,raya banjarnegara - purwok
86,war planet,warnet planet
87,badan pertan nasional kabupaten jayawijaya,badan pertanahan nasional kabupaten jayawijaya
88,ir suci,ir sucitro
89,macc sawah,maccini sawah
90,mulia elektr,mulia elektronik
91,the cell,thetya cell
92,pon kuring lassofi,pondok kuring lassofi
93,pondok kur lassofi,pondok kuring lassofi
94,tk kesaya mutiara,tk kesayangan mutiara
95,colu ten ii,columbus ten ii
96,war mbah suwar,warung mbah suwar
97,warung mbah war,warung mbah suwar
98,bule timur kel gading,bulevar timur kel gading
99,miea dan bakso kraton,mieayam dan bakso kraton
100,kolo sugi,kolonel sugi
101,bat internasional finansindo pt,batara internasional finansindo pt
102,lin timur,lintas timur
103,pancar utama abadi. pt,pancaroada utama abadi. pt
104,majelis tak koripan,majelis taklim koripan
105,salon khu putri,salon khusus putri
106,war ijo,warung ijo
107,war cita rasa,warung cita rasa
108,yayasan gugah nur indonesia,yayasan gugah nurani indonesia
109,war kopi,warung kopi
110,pala tent pela,pala tentara pela
111,amir mah,amir mahmud
112,beng muji,bengkel muji
113,ud. yuni 1,ud. yuniyati 1
114,mushalla baitul,mushalla baitulrido
115,war nasi bu eput,warung nasi bu eput
116,tukang tal jois,tukang talang jois
117,sd negeri no 106,sd negeri no 106143
118,agen sto hpai,agen stokis hpai
119,kampus 2 smk kp pasirj,kampus 2 smk kp pasirjambu
120,alam boga inter pt,alam boga internusa pt
121,raya kut,raya kutruk
122,bank mega kcp band pasirkaliki,bank mega kcp bandung pasirkaliki
123,dan pelaksanan penyuluhan dan ketahanan pangan,badan pelaksanan penyuluhan dan ketahanan pangan
124,badan pelaksanan penyul dan ketahanan pangan,badan pelaksanan penyuluhan dan ketahanan pangan
125,soto ayam & rawon lamo,soto ayam & rawon lamongan
126,pan sari,pandan sari
127,prabumu,prabumulih-b
128,mad coffee,madiha coffee
129,intercity kerli pt,intercity kerlipan. pt
130,dyna language institute,dynamic language institute
131,dynamic lang institute,dynamic language institute
132,focus collec,focus collection
133,soto dag cak mul,soto daging cak mul
134,sultan house of moshi pudd halal,sultan house of moshi pudding halal
135,rubi murni perkasa. pt,rubindo murni perkasa. pt
136,rubindo murni perk pt,rubindo murni perkasa. pt
137,maje taklim arrahman,majelis taklim arrahman
138,majelis tak arrahman,majelis taklim arrahman
139,jl. gay timur mgp,jl. gayung timur mgp
140,war maknyak,warkop maknyak
141,ayam penyet and sam goang d 45 da,ayam penyet and sambal goang d 45 da
142,warung valen 27,warung valentine 27
143,sentra mand consolindo pt,sentra mandiri consolindo pt
144,peri kem,perintis kem
145,pert sum usaha,pert sumber usaha
146,ter ii,ternak ii
147,ban nugget bang kumis,banana nugget bang kumis
148,banana nug bang kumis,banana nugget bang kumis
149,banana nugget ban kumis,banana nugget bang kumis
150,asosiasi hutan rak pribumi hijau,asosiasi hutan rakyat pribumi hijau
151,asosiasi hutan rakyat prib hijau,asosiasi hutan rakyat pribumi hijau
152,pol peureulak barat,polsek peureulak barat
153,fahri pro,fahri profil
154,alams ud,alamsyah. ud
155,prometama sar graha pt,prometama sarana graha pt
156,kary novotel hotel batam (kopkar novo),karyawan novotel hotel batam (kopkar novo)
157,karyawan novo hotel batam (kopkar novo),karyawan novotel hotel batam (kopkar novo)
158,karyawan novotel hotel batam (kop novo),karyawan novotel hotel batam (kopkar novo)
159,karyawan novotel hotel batam (kopkar novo,karyawan novotel hotel batam (kopkar novo)
160,pesan salafiyah baitur rafki as sadiyah,pesantren salafiyah baitur rafki as sadiyah
161,kan pengacara windu winarso sh,kantor pengacara windu winarso sh
162,kantor penga windu winarso sh,kantor pengacara windu winarso sh
163,kan pu kab. tanah datar,kantor pu kab. tanah datar
164,mas almutathohhirin,masjid almutathohhirin
165,darmaw ii,darmawangsa ii
166,toko alf fashion,toko alfaza fashion
167,pala 2,palasari 2
168,jun komunika mbl,junita komunika mbl
169,junita komu mbl,junita komunika mbl
170,inp,inpres
171,eka sari lor transport. pt - agen andongsari - jember (harapan),eka sari lorena transport. pt - agen andongsari - jember (harapan)
172,eka sari lorena transport. pt - agen sari - jember (harapan),eka sari lorena transport. pt - agen andongsari - jember (harapan)
173,eka sari lorena transport. pt - agen andongsari - jem (harapan),eka sari lorena transport. pt - agen andongsari - jember (harapan)
174,taman crys 1,taman crystal 1
175,sd neg nagrak i,sd negeri nagrak i
176,seibu grand indon ug floor,seibu grand indonesia ug floor
177,ptpn viii talun sant,ptpn viii talun santosa
178,cace parf,cace parfume
179,peri kemerd,peri kemerdekaan
180,yaya pelayanan halieluyah,yayasan pelayanan halieluyah
181,toko bang raksa putra,toko bangunan raksa putra
182,smas nurul huda por,smas nurul huda porong
183,eco wis nusantara,eco wisata nusantara
184,war mba sulis,warung mba sulis
185,alfa h660 srdu sira,alfamrt h660 srdu sira
186,uicci pesan sulaimaniyah,uicci pesantren sulaimaniyah
187,uicci pesantren sulaima,uicci pesantren sulaimaniyah
188,miso ayam tak,miso ayam takana
189,ger camp centre,german camp centre
190,german camp cen,german camp centre
191,pis geprek,pisang geprek
192,anbe butar butar collection,anbenov butar butar collection
193,zahr laundry,zahrratu laundry
194,pram,pramuka
195,kuc cell,kucrut cell
196,ayam gep lnd,ayam geprek lnd
197,sul alau,sultan alau
198,kra kecil,kramat kecil
199,got roy,gotong roy
200,war 86,warung 86
201,liek toy - indrapura,liek toyota - indrapura
202,liek toyota - indra,liek toyota - indrapura
203,warm salaras,warmindo salaras
204,rant darat,rantauan darat
205,muti lest 24,muti lestari 24
206,kamp mel barat,kampung mel barat
207,gub airla iv,gub airlangga iv
208,perum devina town house,perumahan devina town house
209,perumahan dev town house,perumahan devina town house
210,catterp montessori school,catterpilars montessori school
211,catterpilars montes school,catterpilars montessori school
212,tukad band xii,tukad bandung xii
213,darm,darminah
214,pawon srir - pawon inspirasi,pawon sriratu - pawon inspirasi
215,pangk lpg elvis heriansyah,pangkalan lpg elvis heriansyah
216,mas al-hidayah,masjid al-hidayah
217,far net,farozz net
218,pusat logi polri,pusat logistik polri
219,bek timur,bekasi timur
220,fort,fortuna
221,mage & kutu tegal,magelang & kutu tegal
222,kole rah,kole rahmat
223,kall prima. pt,kallista prima. pt
224,kallista pri pt,kallista prima. pt
225,toko ud mak,toko ud makmur
226,rasmiy,rasmiyatun
227,kope serba usaha pekojan jaya,koperasi serba usaha pekojan jaya
228,veronica collec,veronica collection
229,oc bar shop,oc barber shop
230,perum sapphire resid,perumahan sapphire resid
231,ali jaya. cv,alifah jaya. cv
232,tit,titien
233,lembaga pendid bahasa inggris petratama,lembaga pendidikan bahasa inggris petratama
234,sumber mak motor,sumber makmur motor
235,dian weed salon,dian weeding salon
236,anug motor,anugrah motor
237,hea skateboards,heaven skateboards
238,mas al ikhlas,masjid al ikhlas
239,sio mang ade,siomay mang ade
240,lidah raya hara barat,lidah raya harapan barat
241,jemb cikema - cibinong kesohor market,jembatan cikema - cibinong kesohor market
242,jembatan cikema - cibi kesohor market,jembatan cikema - cibinong kesohor market
243,jembatan cikema - cibinong keso market,jembatan cikema - cibinong kesohor market
244,jembatan cikema - cibinong kesohor mar,jembatan cikema - cibinong kesohor market
245,pt adyaw sekisui techno molding,pt adyawinsa sekisui techno molding
246,pt adyawinsa seki techno molding,pt adyawinsa sekisui techno molding
247,smp swa dharma bakti besitang,smp swasta dharma bakti besitang
248,smp swasta dha bakti besitang,smp swasta dharma bakti besitang
249,smp swasta dharma bakti besi,smp swasta dharma bakti besitang
250,tila,tilawati
251,akademis prat pt,akademis pratama pt
252,belu panjang kel.,beluran panjang kel.
253,keb,kebond
254,soek hatta,soekarno hatta
255,paket tour bandung lemb tour,paket tour bandung lembang tour
256,gar mas laundry dan dry cleaning,garuda mas laundry dan dry cleaning
257,garuda mas laun dan dry cleaning,garuda mas laundry dan dry cleaning
258,tk islam sudi,tk islam sudirman
259,toko cah alam,toko cahaya alam
260,pad ii gang 17,padema ii gang 17
261,pt hali tripratama,pt halimsak tripratama
262,dinas pemuda olahraga kebuda dan pariwisata kota cilegon,dinas pemuda olahraga kebudayaan dan pariwisata kota cilegon
263,dinas pemuda olahraga kebudayaan dan pariwi kota cilegon,dinas pemuda olahraga kebudayaan dan pariwisata kota cilegon
264,toko besi nikko,toko besi nikkotama
265,ger mawar sharon,gereja mawar sharon
266,tahu jon bung tomo,tahu jontor bung tomo
267,san,sanken
268,pajaj,pajajaran
269,spesiallis laun cleaning service,spesiallis laundry cleaning service
270,spesiallis laundry clea service,spesiallis laundry cleaning service
271,gud pel barat,gud peluru barat
272,kost putri mus ibu hana,kost putri muslim ibu hana
273,perta,pertamina
274,stad ketonggo,stadion ketonggo
275,taman wis lombongo,taman wisata lombongo
276,jiwasraya pt pers asuransi,jiwasraya pt persero asuransi
277,pera,perancis
278,smp neg 6 palu,smp negeri 6 palu
279,ra tkq plus tarbiy nisaa,ra  tkq plus tarbiyatun nisaa
280,raya semb law,raya sembalun law
281,toko jam gaya rem,toko jam gaya remaja
282,kan desa tri jaya,kantor desa tri jaya
283,swi tour dan travel,switha tour dan travel
284,uni min rumah makan,uni minang rumah makan
285,muti printing,mutiara printing
286,"dr. pau simadibrata, sppd","dr. paulus simadibrata, sppd"
287,kios rum,kios rumiwa
288,sp. kaw l. batu,sp. kawat- l. batu
289,rm mark,rm markotop
290,masjid al-ma,masjid al-marwah
291,cah putra. cv,cahaya putra. cv
292,smk farm pharmaca,smk farmasi pharmaca
293,simp pag,simpang pag
294,"dr. mar rambu, sp.tht-kl","dr. markus rambu, sp.tht-kl"
295,satria panc,satria pancing
296,g-t dive garage,g-tech dive garage
297,kedin ten ix,kedin tengah ix
298,kan satpol pp,kantor satpol pp
299,lin timur,lintas timur
300,war pak kardo,warung pak kardo
301,gor volly kand,gor volly kandaga
302,mas az-zahra,masjid az-zahra
303,masjid az-z,masjid az-zahra
304,war makan mbak yantuk,warung makan mbak yantuk
305,cah putra punduhan,cahaya putra punduhan
306,rorome stockis bekasi gd2205,roromendut stockis bekasi gd2205
307,roromendut stoc bekasi gd2205,roromendut stockis bekasi gd2205
308,roromendut stockis bek gd2205,roromendut stockis bekasi gd2205
309,sma widya pram,sma widya pramita
310,parutan kel bu sutarti,parutan kelapa bu sutarti
311,kedai kopi cah jaya 2,kedai kopi cahaya jaya 2
312,binathama khar pt,binathama kharisma pt
313,war makan gemilang,warung makan gemilang
314,warung makan gemi,warung makan gemilang
315,war yuni,warung yuni
316,cemp putih tengah i,cempaka putih tengah i
317,cempaka putih ten i,cempaka putih tengah i
318,crea net,creative net
319,depok town squ lantai 1 fs 108,depok town square lantai 1 fs 108
320,depok town square lan 1 fs 108,depok town square lantai 1 fs 108
321,sul iskandar muda,sultan iskandar muda
322,sultan iska muda,sultan iskandar muda
323,anak tam cafe,anak tamora cafe
324,tpa al-hid,tpa al-hidayah
325,kre bun 4,krekot bun 4
326,toko mal silver,toko malika silver
327,toko malika sil,toko malika silver
328,tang mas timur ii,tanggul mas timur ii
329,mush baitutaqwa,musholla baitutaqwa
330,sd neg 019 balikpapan barat,sd negeri 019 balikpapan barat
331,beng mobil wibowo auto service,bengkel mobil wibowo auto service
332,bengkel mobil wib auto service,bengkel mobil wibowo auto service
333,nge,ngeksi
334,jend sudi,jend sudirman
335,surya electr,surya electrical
336,mas al ikhlas,masjid al ikhlas
337,ttt ticket tourst,ttt ticket tourstravel
338,komplek kland permai b-6,komplek klandasan permai b-6
339,komplek klandasan per b-6,komplek klandasan permai b-6
340,mas baitur rohman,masjid baitur rohman
341,mas darul arqom,masjid darul arqom
342,perintis kemerd iii,perintis kemerdekaan iii
343,smp terpadupesantren bai hikmah,smp terpadupesantren baitul hikmah
344,smp terpadupesantren baitul hik,smp terpadupesantren baitul hikmah
345,maje nurul muhibbin,majelis nurul muhibbin
346,indom,indomaret
347,bua plaza,buaran plaza
348,ida megah indah,idaman megah indah
349,beng las rahmad,bengkel las rahmad
350,kan kelurahan pekat,kantor kelurahan pekat
351,lin sumb,lin sumbawa
352,base & shop official noah,basecamp & shop official noah
353,basecamp & shop offi noah,basecamp & shop official noah
354,war makan,warung makan
355,pelab rak,pelabuhan rak
356,kb babuss,kb babussalam
357,para raya,parangt raya
358,sup,supini
359,kosa,kosambi
360,muksal,muksalmina
361,pang rambut mantap,pangkas rambut mantap
362,madr diniyah takmiliyah awwaliyah al - falah,madrasah diniyah takmiliyah awwaliyah al - falah
363,madrasah diniyah takmiliyah al al - falah,madrasah diniyah takmiliyah awwaliyah al - falah
364,madrasah diniyah takmiliyah awwaliyah al - al,madrasah diniyah takmiliyah awwaliyah al - falah
365,wahid has,wahid hasyim
366,par bus ipb,parkir bus ipb
367,kand ayam muji lestari,kandang ayam muji lestari
368,jl. per neg i,jl. percet neg i
369,itc man dua lt. 4,itc mangga dua lt. 4
370,bank tabu negara pt persero tbk,bank tabungan negara pt persero tbk
371,bank tabungan negara pt pers tbk,bank tabungan negara pt persero tbk
372,selya bak shop,selya bakery shop
373,her cell,herlin cell
374,beng alysa,bengkel alysa
375,jam 6 pagi sampai jam 8 mal bendungan wetan,"jam 6 pagi sampai jam 8 malam, bendungan wetan"
376,"jam 6 pagi sampai jam 8 malam, bendu wetan","jam 6 pagi sampai jam 8 malam, bendungan wetan"
377,west union,western union
378,tk pgri x gra,tk pgri x grabag
379,nasi bebek cak soli,nasi bebek cak solikin
380,bali fis advert,bali fis advertising
381,waro ss,waroeng ss
